X,Y,OGF_ID,MOH_SERVICE_PROVIDER_IDENT,SERVICE_TYPE,SERVICE_TYPE_DETAIL,ENGLISH_NAME,FRENCH_NAME,ENGLISH_NAME_ALT,FRENCH_NAME_ALT,ADDRESS_LINE_1,ADDRESS_LINE_2,ADDRESS_DESCRIPTOR,COMMUNITY,POSTAL_CODE,GEOMETRY_UPDATE_DATETIME,EFFECTIVE_DATETIME,SYSTEM_DATETIME,OBJECTID
-80.278850027063768,43.185659860801373,125279228,S0057,Retirement Home,Site,Chartwell Tranquility Place Retirement Residence,,,,436 Powerline Road,,Residential,Brantford,N3T6G5,2019-02-12T12:47:06.000Z,2019-02-11T09:35:42.000Z,2019-02-12T23:17:15.000Z,135713
-75.830064773854261,45.324089132657463,125309094,10000000031,Midwifery Clinic,Satellite,Ottawa Valley Midwives,,,,2039 Robertson Road,Unit 244,Practice Location,Ottawa,K2H8R2,2019-02-12T12:23:51.000Z,2019-02-11T10:37:25.000Z,2019-02-12T23:17:15.000Z,135761
-75.887956590746853,45.297432525646755,125279988,5351,Pharmacy,RP,Precise Pharmacy,,,,474 Hazeldean Road,Unit 13B,,Ottawa,K2L4E5,2019-02-12T12:37:10.000Z,2019-02-11T09:37:06.000Z,2019-02-12T23:17:15.000Z,135809
-79.407774393898251,43.677205588145632,125299651,3032,Mental Health and Addiction Organization,Mental Health Services,"Canadian Hearing Society, The",,,,271 Spadina Road,,Administration and Practice Location,Toronto,M5R2V3,2019-02-12T12:21:43.000Z,2019-02-11T10:15:52.000Z,2019-02-12T23:17:15.000Z,135873
-78.95048216888604,43.918410451523599,125311852,6650,Pharmacy,RP,Shoppers Drug Mart #1384,,,,220 Taunton Road East,,,Whitby,L1R0M5,2019-02-12T13:25:25.000Z,2019-02-11T10:43:18.000Z,2019-02-12T23:17:15.000Z,135937
-78.647758548942377,44.782425214867104,125281139,6569,Pharmacy,RP,Kinmount Pharmacy,,,,31 County Road 503,Postal Office Box 130,,Kinmount,K0M2A0,2019-02-12T12:47:34.000Z,2019-02-11T09:39:27.000Z,2019-02-12T23:17:15.000Z,135969
-79.852875498922501,43.261025494099123,125308320,7993,Pharmacy,RP,Barton Medical Pharmacy,,,,293 Barton Street East,,,Hamilton,L8L2X4,2019-02-12T13:04:10.000Z,2019-02-11T10:35:51.000Z,2019-02-12T23:17:15.000Z,135985
-75.86804698318447,45.285945824522869,125311867,3665,Laboratory - Specimen Collection Centre,Specimen Collection Centre - Private SCC,Dynacare,,,,700 Eagleson Road,,,Ottawa,K2M2G9,2019-02-12T12:24:26.000Z,2019-02-11T10:43:20.000Z,2019-02-12T23:17:15.000Z,136001
-80.509131022401661,43.439302094512577,125292015,9285,Pharmacy,RP,Rexall #2477,,,,324 Highland Road West,,,Kitchener,N2M5G2,2019-02-12T12:50:04.000Z,2019-02-11T10:01:13.000Z,2019-02-12T23:17:15.000Z,136017
-77.383987985198587,44.168738665638301,125306260,453,Community Support Service,Site,Pathways to Independence,,Pathways to Independence,,289 Pinnacle Street,,Administrative Office,Belleville,K8N3B3,2019-02-12T13:03:40.000Z,2019-02-11T10:31:26.000Z,2019-02-12T23:17:15.000Z,137121
-84.150323201965307,46.536268813017422,125298391,8497,Mental Health and Addiction Organization,Mental Health Services,Maamwesying North Shore Community Health Services Inc,,,,23 Shingwauk Street,,Practice Location,Garden River,P6A6Z9,2019-02-12T13:32:32.000Z,2019-02-11T10:13:32.000Z,2019-02-12T23:17:15.000Z,137153
-82.477026129203352,46.206310555792385,125293140,8494,Mental Health and Addiction Organization,Mental Health Services,Maamwesying North Shore Community Health Services Inc,,,,40 Ball Park Road,,Practice Location,Cutler,P0P1B0,2019-02-12T12:40:09.000Z,2019-02-11T10:03:29.000Z,2019-02-12T23:17:15.000Z,137201
-80.28679986142636,43.543381623353774,125274744,4874,Pharmacy,RP,Drug Basics #557,,,,222 Silvercreek Parkway North,,,Guelph,N1H8E8,2019-02-12T12:15:59.000Z,2019-02-11T09:22:55.000Z,2019-02-12T23:17:15.000Z,137265
-81.241474908070558,42.941712671743957,125304171,2299605,Independent Health Facility,"Gen Ultrasound, Obs/Gyn Utrasnd",Omega Fertility Center Inc.,,Omega Fertility Centre Inc.,,555 Southdale Road East,Suite 107,Practice Address,London,N6E1A2,2019-02-12T13:13:06.000Z,2019-02-11T10:26:28.000Z,2019-02-12T23:17:15.000Z,137329
-79.072795101235599,43.840666432291023,125274711,T0103,Retirement Home,Site,Chartwell Parkway Retirement Residence,,,,1645 Pickering Parkway,,Residential,Pickering,L1V7E9,2019-02-12T12:45:58.000Z,2019-02-11T09:22:51.000Z,2019-02-12T23:17:15.000Z,137409
-77.256704396391143,45.893478466344192,125284842,3455,Laboratory - Specimen Collection Centre,Specimen Collection Centre - Private SCC,LifeLabs,,,,154 Civic Centre Road,,,Petawawa,K8H2E6,2019-02-12T12:48:22.000Z,2019-02-11T09:46:56.000Z,2019-02-12T23:17:15.000Z,137425
-80.732619065603643,43.134850330289439,125307533,3425,Laboratory - Specimen Collection Centre,Specimen Collection Centre - Private SCC,LifeLabs,,,,959 Dundas Street,,,Woodstock,N4S1H2,2019-02-12T12:33:28.000Z,2019-02-11T10:34:13.000Z,2019-02-12T23:17:15.000Z,137505
-79.858493600014981,43.253140892441785,125314522,S0193,Retirement Home,Site,First Place Hamilton,,,,360 King Street East,,Residential,Hamilton,L8N3Y2,2019-02-12T12:44:45.000Z,2019-02-11T10:48:28.000Z,2019-02-12T23:17:15.000Z,137569
-79.055178096697759,43.853206535298,125288561,5342,Pharmacy,RP,The Hope Pharmacy,,,,38 Church Street South,,,Ajax,L1S6B3,2019-02-12T12:59:45.000Z,2019-02-11T09:54:25.000Z,2019-02-12T23:17:15.000Z,137617
-79.755806164294299,43.216571190736168,125278856,9949,Pharmacy,RP,King Elm Pharmacy,,,,49 King Street East,,,Hamilton,L8G1J9,2019-02-12T12:57:27.000Z,2019-02-11T09:35:00.000Z,2019-02-12T23:17:15.000Z,137697
-75.548562190033351,45.436042863637908,125283636,N0475,Retirement Home,Site,Blackburn Senior Retirement Home,,,,2412 Cleroux Crescent,,Residential,Ottawa,K1W1A3,2019-02-12T12:48:06.000Z,2019-02-11T09:44:30.000Z,2019-02-12T23:17:15.000Z,137745
-79.264853256362031,43.769056210876911,125311495,10000000032,Senior Active Living Centre,Site,"City of Toronto, Parks Forestry & Recreation East District - Birkdale Community Centre",,,,1299 Ellesmere Road,,,Toronto,M1P2Y2,2019-02-12T12:54:34.000Z,2019-02-11T10:42:34.000Z,2019-07-18T00:00:00.000Z,137761
-79.883317988053491,44.147130847524217,125314699,3876219,Independent Health Facility,"Mamm, Radgrhy, Gen Ultrasound, Vasc Utrasnd, Nuc Med - In Vivo Gen, Nuc Med - In Vtro, Nuc Med - In Vivo SPECT, PF - Screen, PF - Lung Vol & Diff, PF",Pace Medical Imaging,,Alliston Diagnostic Centre Inc.,,117 Young Street,Unit 21 - 24,Practice Address,New Tecumseth,L9R0E9,2019-02-12T12:25:08.000Z,2019-02-11T10:48:49.000Z,2019-02-12T23:17:15.000Z,137777
-81.029315552272195,44.141875290832154,125273013,4200,Laboratory - Hospital,Hospital Laboratory - Rural Hospital,Hanover and District Hospital Laboratory,,,,90 7th Avenue,,,Hanover,N4N1N1,2019-02-12T13:16:15.000Z,2019-02-11T09:16:58.000Z,2019-02-12T23:17:15.000Z,137873
-80.251464650626531,43.547781525806094,125302700,8058,Community Health Centre,Site,Guelph Community Health Centre,,WELLINGTON Guelph CHC,,176 Wyndham Street North,Suite 1,Unknown,Guelph,N1H8N9,2019-02-12T12:52:30.000Z,2019-02-11T10:23:02.000Z,2019-02-12T23:17:15.000Z,138001
-78.32016970003292,44.304847747664311,125276049,9568,Pharmacy,RP,Shoppers Simply Pharmacy #3002,,,,361 George Street North,,,Peterborough,K9H3R2,2019-02-12T13:06:58.000Z,2019-02-11T09:27:21.000Z,2019-02-12T23:17:15.000Z,138049
-81.331436337680088,42.957949070260653,125300881,9063,Pharmacy,RP,Pharma Plus #1073,,,,1240 Commissioners Road West,,,London,N6K1C7,2019-02-12T12:41:48.000Z,2019-02-11T10:18:46.000Z,2019-02-12T23:17:15.000Z,138129
-82.437098619116611,42.263005393052822,125314693,10000000154,Family Health Team - Contract,Site,Tilbury District Family Health Team Inc.,,,,22 Mill Street West,Postal Office Box 760,,Chatham-Kent,N0P2L0,2019-02-12T12:44:47.000Z,2019-02-11T10:48:48.000Z,2019-02-12T23:17:15.000Z,138193
-79.652757763112419,43.577011559149831,125271669,7629,Pharmacy,RP,Medipark Pharmacy,,,,780 Burnhamthorpe Road West,Unit 4,,Mississauga,L5C3X3,2019-02-12T12:15:20.000Z,2019-02-11T09:12:47.000Z,2019-02-12T23:17:15.000Z,138209
-79.545718731234885,43.601933968517429,125290339,9345,Pharmacy,RP,Rexall #6941,,,,440 Brown's Line,,,Toronto,M8W3T9,2019-02-12T13:09:58.000Z,2019-02-11T09:57:56.000Z,2019-02-12T23:17:15.000Z,138225
-75.758219852632948,45.354351840866919,125296033,2579,Long-Term Care Home,NH for-profit,Extendicare Medex,,,,1865 Baseline Road,,,Ottawa,K2C3K6,2019-02-12T12:50:58.000Z,2019-02-11T10:08:58.000Z,2019-02-12T23:17:15.000Z,138273
-80.843936365024945,43.839921548041183,125306116,2767,Long-Term Care Home,NH for-profit,Royal Terrace,,,,600 Whites Road,,,Palmerston,N0G2P0,2019-02-12T12:53:19.000Z,2019-02-11T10:31:06.000Z,2019-02-12T23:17:15.000Z,138353
-80.553484237689645,43.453408994860133,125311945,4841,Pharmacy,RP,Beechwood Wellness Pharmacy,,,,420 Erb Street West,,,Waterloo,N2L1W8,2019-02-12T12:44:12.000Z,2019-02-11T10:43:30.000Z,2019-02-12T23:17:15.000Z,138513
-80.9677879070438,42.768598654172649,125284657,3660,Pharmacy,LTCF,Terrace Lodge,,,,475 Talbot Street East,,,Aylmer,N5H3A5,2019-02-12T13:08:45.000Z,2019-02-11T09:46:33.000Z,2019-02-12T23:17:15.000Z,138545
-79.25899237813401,42.879554753334368,125275299,4121,Laboratory - Hospital,Hospital Laboratory - Rural Hospital,Niagara Health System - Port Colborne General Hospital Site,,,,260 Sugarloaf Street,,,Port Colborne,L3K2N7,2019-02-12T13:06:50.000Z,2019-02-11T09:24:51.000Z,2019-02-12T23:17:15.000Z,138753
-77.89304385268241,44.198685548399382,125282412,11046,Pharmacy,LTCF,Warkworth Place,,,,97 Mill Street,(At Banta),,Warkworth,K0K3K0,2019-02-12T12:17:45.000Z,2019-02-11T09:42:06.000Z,2019-02-12T23:17:15.000Z,138801
-79.396103291979614,43.697680292279408,125304207,5443511,Independent Health Facility,Gen Ultrasound,Meridia Medical Inc.,,Meridia Medical Inc.,,1881 Yonge Street,Suite 501,Practice Address,Toronto,M4S3C4,2019-02-12T12:32:45.000Z,2019-02-11T10:26:34.000Z,2019-02-12T23:17:15.000Z,138817
-75.730682047649992,45.403132150363739,125278211,16921,Mental Health and Addiction Organization,Mental Health Services,Jewish Family Services of Ottawa-Carleton,,,,312 Parkdale Avenue,,Practice Location,Ottawa,K1Y4X5,2019-02-12T12:36:48.000Z,2019-02-11T09:33:40.000Z,2019-02-12T23:17:15.000Z,138849
-84.317832253314378,46.521540600979485,125272266,2196,Mental Health and Addiction Organization,Addiction Services,Algoma Family Services,,,,205 McNabb Street,,Administration and Practice Location,Sault Ste. Marie,P6B1Y3,2019-02-12T13:16:05.000Z,2019-02-11T09:14:17.000Z,2019-02-12T23:17:15.000Z,138913
-79.695530968318167,47.499412007272589,125299938,9713,Pharmacy,RP,Temiskaming Pharmasave,,,,240 Shepherdson Road,Unit 3,,Temiskaming Shores,P0J1P0,2019-02-12T12:51:55.000Z,2019-02-11T10:16:29.000Z,2019-02-12T23:17:15.000Z,139057
-76.989397482841127,44.476186436572185,125301058,N0489,Retirement Home,Site,Adair Place,,,,462 Adair Road,,Residential,Tamworth,K0K3G0,2019-02-12T12:22:01.000Z,2019-02-11T10:19:11.000Z,2019-02-12T23:17:15.000Z,139073
-80.427918096225326,43.433692197408782,125286746,6349,Pharmacy,RP,Fairway River Pharmacy,,,,1401 River Road East,Unit 4B,,Kitchener,N2A3X9,2019-02-12T12:18:48.000Z,2019-02-11T09:50:43.000Z,2019-02-12T23:17:15.000Z,139169
-83.038053209230142,42.319262673279475,125314301,7856,Pharmacy,RP,Yee Pharmacy Ltd.,,,,165 Goyeau Street,,,Windsor,N9A1G5,2019-02-12T13:15:30.000Z,2019-02-11T10:48:04.000Z,2019-02-12T23:17:15.000Z,139185
-79.772061109876802,43.676129670942458,125284710,9270,Pharmacy,RP,Rexall Pharma Plus #2386,,,,398 Queen Street West,,,Brampton,L6X1B3,2019-02-12T12:58:53.000Z,2019-02-11T09:46:40.000Z,2019-02-12T23:17:15.000Z,139233
-79.021154384876994,43.842691235023509,125302213,5721,Pharmacy,RP,Health-Rite Pharmacy,,,,75 Bayly Street West,,,Ajax,L1S7K7,2019-02-12T13:33:23.000Z,2019-02-11T10:21:51.000Z,2019-02-12T23:17:15.000Z,139361
-79.397907590708712,43.676730088520117,125292788,2320846,Independent Health Facility,"Nuc Med - In Vivo Gen, Nuc Med - In Vivo SPECT",KMH Cardiology Centres Inc.,,KMH Cardiology Centres Inc.,,236 Avenue Road,,Practice Address,Toronto,M5R2J4,2019-02-12T13:00:40.000Z,2019-02-11T10:02:40.000Z,2019-02-12T23:17:15.000Z,139489
-79.433250698815229,43.640775980567675,125295598,3407,Mental Health and Addiction Organization,Mental Health Services,Sistering - A Woman's Place,,,,220 Cowan Avenue,,Practice Location,Toronto,M6K2N6,2019-02-12T13:21:37.000Z,2019-02-11T10:08:08.000Z,2019-02-12T23:17:15.000Z,139505
-79.761172179533276,43.371938417977688,125290340,8007,Pharmacy,RP,Queen's Medical Pharmacy,,,,666 Appleby Line,Unit C105,,Burlington,L7L5Y3,2019-02-12T13:20:20.000Z,2019-02-11T09:57:57.000Z,2019-02-12T23:17:15.000Z,139537
-79.894798646467891,43.64868876036212,125304999,12380,Pharmacy,RP,Professional Arts Pharmacy,,,,99 Sinclair Avenue,,,Halton Hills,L7G5G1,2019-02-12T12:53:02.000Z,2019-02-11T10:28:23.000Z,2019-02-12T23:17:15.000Z,139553
-77.102120738630717,45.821419261293954,125276352,N0162,Retirement Home,Site,Carefor Civic Complex,,,,425 Cecelia Street,,Residential,Pembroke,K8A1S7,2019-02-12T13:07:02.000Z,2019-02-11T09:28:25.000Z,2019-02-12T23:17:15.000Z,139617
-77.156148159506742,44.736031274369573,125284981,2796,Long-Term Care Home,NH non-profit,Pine Meadow Nursing Home,,,,124 Lloyd Street,Postal Office Box 100,,Northbrook,K0H2G0,2019-02-12T12:38:15.000Z,2019-02-11T09:47:13.000Z,2019-02-12T23:17:15.000Z,139649
-77.694681502541968,45.482281677514621,125288450,3912,Laboratory - Specimen Collection Centre,Specimen Collection Centre - Private SCC,Dynacare,,,,21 St. Francis Memorial Drive,,,Barry's Bay,K0J1B0,2019-02-12T13:30:15.000Z,2019-02-11T09:54:11.000Z,2019-02-12T23:17:15.000Z,139777
-79.519358425433538,43.631379874915709,125291136,729,Pharmacy,RP,Loblaw Pharmacy,,,,1020 Islington Avenue,,,Toronto,M8Z6A4,2019-02-12T12:29:51.000Z,2019-02-11T09:59:29.000Z,2019-02-12T23:17:15.000Z,139809
-75.729802646119566,45.388547147909641,125298099,1039,Community Support Service,Site,Royal Ottawa Health Care Group,,Royal Ottawa Health Care Group,,1145 Carling Avenue,,Administrative Office,Ottawa,K1Z7K4,2019-02-12T12:51:26.000Z,2019-02-11T10:12:58.000Z,2019-02-12T23:17:15.000Z,139841
-79.617445865575746,43.731604887902428,125313944,6939,Pharmacy,LTCF,Deerwood Creek Care Community,,,,70 Humberline Drive,,,Toronto,M9W7H3,2019-02-12T12:55:11.000Z,2019-02-11T10:47:23.000Z,2019-02-12T23:17:15.000Z,139921
-79.653503275235721,43.71104528261624,125282909,2148,Pharmacy,RP,Airport Pharmacy,,,,2985 Drew Road,Unit 114,,Mississauga,L4T0A4,2019-02-12T13:18:36.000Z,2019-02-11T09:43:03.000Z,2019-02-12T23:17:15.000Z,139953
-75.300700316481681,45.540522791802857,125285097,2899,Pharmacy,RP,Shoppers Drug Mart #1245,,,,2755 Laurier Street,,,Clarence-Rockland,K4K1A3,2019-02-12T13:08:50.000Z,2019-02-11T09:47:28.000Z,2019-02-12T23:17:15.000Z,140081
-79.28682619735315,43.003399374279027,125300191,925,Pharmacy,RP,Shoppers Drug Mart #1194,,,,595 South Pelham Road,,,Welland,L3C3C7,2019-02-12T13:22:42.000Z,2019-02-11T10:17:08.000Z,2019-02-12T23:17:15.000Z,140097
-81.391967495513185,44.433023322196057,125291611,9152,Pharmacy,RP,Rexall Pharma Plus # 1685,,,,466 Goderich Street,,,Saugeen Shores,N0H2C4,2019-02-12T13:30:58.000Z,2019-02-11T10:00:24.000Z,2019-02-12T23:17:15.000Z,140225
-79.711785180247546,43.558419753126095,125295877,8897,Pharmacy,RP,Wal-Mart Pharmacy #1211,,,,5100 Erin Mills Parkway,,,Mississauga,L5M4Z5,2019-02-12T12:20:47.000Z,2019-02-11T10:08:40.000Z,2019-02-12T23:17:15.000Z,140257
-93.389537255816265,48.617578583083819,125277798,3705,Community Support Service,Site,Riverside Health Care Facilities Inc. (Rainycrest),,Riverside Health Care Facilites Inc. ( Rainycrest),,550 Osborne Street,,Administrative Office,Fort Frances,P9A3T2,2019-02-12T13:17:25.000Z,2019-02-11T09:32:46.000Z,2019-02-12T23:17:15.000Z,140289
-79.214761486505296,43.145796902994682,125273197,11679,Pharmacy,RP,Merritton Community Pharmacy,,,,491 Merritt Street,Unit 3,,St. Catharines,L2P1P2,2019-02-12T13:26:49.000Z,2019-02-11T09:17:28.000Z,2019-02-12T23:17:15.000Z,140401
-82.948185583434224,42.339472181349429,125293521,9721188,Independent Health Facility,Radgrhy,Clear Medical Imaging,,2324317 Ontario Ltd.,,7875 Riverside Drive East,Unit 103,Practice Address,Windsor,N8S1E1,2019-02-12T12:30:23.000Z,2019-02-11T10:04:13.000Z,2019-02-12T23:17:15.000Z,140497
-79.421274405433039,43.758994601853139,125308237,2076728,Independent Health Facility,"Mobile Gen Ultrasound, Mobile Vasc Utrasnd, (M) Radgrhy",York Ultrasound,,York Ultrasound Inc.,,219 Sheppard Avenue West,,Administrative Address,Toronto,M2N1N2,2019-02-12T13:04:08.000Z,2019-02-11T10:35:41.000Z,2019-02-12T23:17:15.000Z,140529
-89.245351065829752,48.429021763218998,125291777,2383,Mental Health and Addiction Organization,Addiction Services,Crossroads Centre Inc.,,,,500 Oliver Road,Wing H,Administration and Practice Location,Thunder Bay,P7B2H1,2019-02-12T12:50:01.000Z,2019-02-11T10:00:43.000Z,2019-02-12T23:17:15.000Z,140545
-79.67269065848771,43.452450236301587,125272386,9824,Pharmacy,LTCF,Wyndham Manor Ltc Centre,,,,291 Reynalds Street,,,Oakville,L6J3L5,2019-02-12T12:35:29.000Z,2019-02-11T09:14:37.000Z,2019-02-12T23:17:15.000Z,140609
-82.177400750715591,42.396230829508099,125295432,3291,Pharmacy,RP,Shoppers Drug Mart #1037,,,,420 Queen Street,,,Chatham-Kent,N7M2J2,2019-02-12T13:21:33.000Z,2019-02-11T10:07:50.000Z,2019-02-12T23:17:15.000Z,140641
-79.422193409027017,43.796205908320893,125308737,1017,Pharmacy,RP,Shoppers Drug Mart #872,,,,6428 Yonge Street,,,Toronto,M2M3X4,2019-02-12T13:14:13.000Z,2019-02-11T10:36:42.000Z,2019-02-12T23:17:15.000Z,140673
-82.389268269155181,42.976635321449557,125282394,4045,Laboratory - Hospital,Hospital Laboratory - Regional Hospital(Urban),Bluewater Health - Sarnia,,,,89 Norman Street,,,Sarnia,N7T6S3,2019-02-12T12:58:18.000Z,2019-02-11T09:42:04.000Z,2019-02-12T23:17:15.000Z,140705
-81.749920140556569,42.648606695206411,125291806,S0401,Retirement Home,Site,Beattie Manor,,,,23328 Beattie Line,,Residential,Wardsville,N0L2N0,2019-02-12T12:19:52.000Z,2019-02-11T10:00:46.000Z,2019-02-12T23:17:15.000Z,140737
-79.70382708071817,43.592350859456957,125304876,8050,Pharmacy,RP,Shepherd Drug Mart,,,,1474 Pickwick Drive,Unit 5A,,Mississauga,L5V2G2,2019-02-12T13:03:20.000Z,2019-02-11T10:28:06.000Z,2019-02-12T23:17:15.000Z,140785
-79.392542791048143,43.700000992851756,125293612,8989,Pharmacy,LTCF,Isabel and Arthur Meighen Mano,,,,155 Millwood Road,,,Toronto,M4S1J6,2019-02-12T12:40:16.000Z,2019-02-11T10:04:24.000Z,2019-02-12T23:17:15.000Z,140865
-76.696969074079306,45.481511722091312,125310202,12109,Pharmacy,LTCF,Groves Park Lodge,,,,470 Raglan Street North,,,Renfrew,K7V1P5,2019-02-12T13:25:00.000Z,2019-02-11T10:39:47.000Z,2019-02-12T23:17:15.000Z,140913
-79.037140691489071,43.859665037259319,125297631,8766,Pharmacy,RP,Sobeys Pharmacy #7203,,,,260 Kingston Road,,,Ajax,L1T4E4,2019-02-12T12:21:13.000Z,2019-02-11T10:12:04.000Z,2019-02-12T23:17:15.000Z,141009
-79.470653867966533,46.329432132760019,125276619,352,Community Support Service,Site,Physically Handicapped Adults' Rehabilitation Association,,Physically Handicapped Adults' Rehabilitation Association -Nipissing-Parry Sound,,280 Oakwood Avenue,,Administrative Office,North Bay,P1B9G2,2019-02-12T13:17:07.000Z,2019-02-11T09:29:46.000Z,2019-02-12T23:17:15.000Z,141025
-79.83274158862551,43.216032387067557,125308066,8070,Pharmacy,RP,Shoppers Drug Mart #1049,,,,902 Mohawk Road East,,,Hamilton,L8T2R8,2019-02-12T12:23:38.000Z,2019-02-11T10:35:20.000Z,2019-02-12T23:17:15.000Z,141105
-81.757962343932931,42.658399696552458,125294814,4394,Pharmacy,LTCF,Babcock Community Care Centre,,,,196 Wellington Street,,,Wardsville,N0L2N0,2019-02-12T12:30:42.000Z,2019-02-11T10:06:41.000Z,2019-02-12T23:17:15.000Z,141233
-79.458394116577821,43.751064298736338,125307719,8103,Pharmacy,RP,Ben Medical Pharmacy,,,,935 Sheppard Avenue West,Unit 1,,Toronto,M3H2T7,2019-02-12T13:04:02.000Z,2019-02-11T10:34:37.000Z,2019-02-12T23:17:15.000Z,141281
-79.884417415916303,43.340998006763741,125281639,8176,Pharmacy,RP,East Waterdown Pharmacy,,,,419 Dundas Street East,Unit 11,,Hamilton,L0R2H1,2019-02-12T12:37:31.000Z,2019-02-11T09:40:28.000Z,2019-02-12T23:17:15.000Z,141345
-75.660409927742052,45.443084060143903,125295068,7241,Pharmacy,LTCF,Centre D'accueil Champlain,,,,275 Perrier Avenue,,,Ottawa,K1L5C6,2019-02-12T12:20:36.000Z,2019-02-11T10:07:10.000Z,2019-02-12T23:17:15.000Z,141361
-79.415883711089933,43.842075316631103,125309989,3552,Pharmacy,RP,Wal-Mart Pharmacy,,,,255 Silver Linden Drive,,,Richmond Hill,L4B4V5,2019-02-12T13:35:00.000Z,2019-02-11T10:39:18.000Z,2019-02-12T23:17:15.000Z,141377
-77.967911692589141,44.379275576499971,125299943,2761,Long-Term Care Home,NH for-profit,Pleasant Meadow Manor,,,,99 Alma Street,Postal Office Box 426,,Norwood,K0L2V0,2019-02-12T13:02:12.000Z,2019-02-11T10:16:29.000Z,2019-02-12T23:17:15.000Z,141425
-92.836967601013086,49.78010247275698,125270269,14460,Mental Health and Addiction Organization,Addiction Services and Mental Health Services,Dryden Regional Health Centre,,,,,,Practice Location,Dryden,,2019-02-12T13:05:41.000Z,2019-02-11T09:10:04.000Z,2019-02-12T23:17:15.000Z,141441
-79.726575301965113,43.74969098594449,125273492,5935623,Independent Health Facility,"Bone Min DXA, Mamm, Radgrhy, Gen Ultrasound",Torbram and North Park X-Ray and Ultrasound,,2548781 Ontario Limited,,2130 North Park Drive,Unit 225,Practice Address,Brampton,L6S0C9,2019-02-12T13:26:53.000Z,2019-02-11T09:18:32.000Z,2019-02-12T23:17:15.000Z,141521
-80.552569017983544,43.236960456883402,125307405,10517,Pharmacy,RP,Drumbo Pharmacy,,,,4 Wilmot Street North,,,Drumbo,N0J1G0,2019-02-12T13:03:56.000Z,2019-02-11T10:33:56.000Z,2019-02-12T23:17:15.000Z,141649
-80.554368447064576,43.553820812376813,125276926,231,Community Support Service,Site,"Community Care Concepts of Woolwich, Wellesley and Wilmot",,"Community Care Concepts of Woolwich, Wellesley and Wilmot",,929 Arthur Street South,,Administrative Office,Elmira,N3B2Z2,2019-02-12T12:36:30.000Z,2019-02-11T09:30:57.000Z,2019-02-12T23:17:15.000Z,141713
-79.538736627767577,43.587815966361447,125288709,T0191,Retirement Home,Site,Adeline's Lodge,,,,379 Lake Promenade,,Residential,Toronto,M8W1C1,2019-02-12T12:19:11.000Z,2019-02-11T09:54:44.000Z,2019-02-12T23:17:15.000Z,141921
-80.335805764077747,43.399997695880181,125285486,8054,Community Health Centre,Site,Langs Farm Village Association,,WATERLOO Langs Farm Village Assoc,,887 Langs Drive,Unit  1,Unknown,Cambridge,N3H5K4,2019-02-12T12:59:03.000Z,2019-02-11T09:48:16.000Z,2019-02-12T23:17:15.000Z,141985
-79.764808367329607,43.218671590690981,125309489,2885,Pharmacy,RP,Park Pharmacy,,,,72 King Street West,,,Hamilton,L8G1H9,2019-02-12T13:04:26.000Z,2019-02-11T10:38:12.000Z,2019-02-12T23:17:15.000Z,142049
-74.709875977271267,45.016031925647198,125280639,7891,Pharmacy,RP,Cotton Mill Pharmacy,,,,703 Cotton Mill Street,Unit 107,,Cornwall,K6H0E7,2019-02-12T12:27:27.000Z,2019-02-11T09:38:22.000Z,2019-02-12T23:17:15.000Z,142081
-82.997274194947067,42.299968671898341,125273235,2908,Community Support Service,Site,Windsor Regional Hospital (GAP/ADC),,Windsor Regional Hospital,,1995 Lens Avenue,,Administrative Office,Windsor,N8W1L9,2019-02-12T12:56:08.000Z,2019-02-11T09:17:32.000Z,2019-02-12T23:17:15.000Z,142289
-79.626702873419362,43.786449797055795,125298524,2229,Pharmacy,RP,Wal-Mart Pharmacy,,,,8300 Ontario 27,,,Vaughan,L4H0R9,2019-02-12T13:32:34.000Z,2019-02-11T10:13:47.000Z,2019-02-12T23:17:15.000Z,142305
-79.865451161378672,47.821520648326782,125282080,11027,Pharmacy,LTCF,Northview Nursing Home,,,,7 River Road,,,Englehart,P0J1H0,2019-02-12T12:37:37.000Z,2019-02-11T09:41:24.000Z,2019-02-12T23:17:15.000Z,142545
-82.20622705986149,42.398760928548583,125284953,10000000100,Senior Active Living Centre,Site,Maple City Centre for Older Adults,,,,20 Merritt Avenue,,,Chatham-Kent,N7M6G9,2019-02-12T13:19:03.000Z,2019-02-11T09:47:10.000Z,2019-07-18T00:00:00.000Z,142561
-79.403270890695808,43.657152184834558,125296476,8049,Pharmacy,RP,Raxlen Pharmacy,,,,343 College Street,,,Toronto,M5T1S5,2019-02-12T12:20:56.000Z,2019-02-11T10:09:51.000Z,2019-02-12T23:17:15.000Z,142625
-82.882831558147387,42.282141174438337,125304666,2904,Long-Term Care Home,NH for-profit,Extendicare Tecumseh,,,,2475 St. Alphonse Street,,,Tecumseh,N8N2X2,2019-02-12T13:03:17.000Z,2019-02-11T10:27:38.000Z,2019-02-12T23:17:15.000Z,142657
-78.83992003116073,43.892594352079385,125271393,7149,Pharmacy,RP,Pharmasave-Devon Pharmacy,,,,360 Wilson Road South,,,Oshawa,L1H6C7,2019-02-12T13:05:56.000Z,2019-02-11T09:12:15.000Z,2019-02-12T23:17:15.000Z,142673
